Category,Level,Attribute,Region,Value
Pendidikan,4,4,5,3
Etnik,1,0,1,5824
Etnik,1,0,2,5483
Etnik,1,0,3,3014
Etnik,1,0,4,1648
Etnik,1,0,5,1217
Etnik,1,1,1,33
Etnik,1,1,2,31
Etnik,1,1,3,35
Etnik,1,1,4,26
Etnik,1,1,5,5
Etnik,1,2,1,782
Etnik,1,2,2,1192
Etnik,1,2,3,492
Etnik,1,2,4,226
Etnik,1,2,5,189
Etnik,1,3,1,655
Etnik,1,3,2,551
Etnik,1,3,3,163
Etnik,1,3,4,88
Etnik,1,3,5,162
Etnik,1,4,1,63
Etnik,1,4,2,79
Etnik,1,4,3,25
Etnik,1,4,4,8
Etnik,1,4,5,24
Etnik,2,0,1,3435
Etnik,2,0,2,962
Etnik,2,0,3,2151
Etnik,2,0,4,1545
Etnik,2,0,5,1521
Etnik,2,1,1,75
Etnik,2,1,2,37
Etnik,2,1,3,67
Etnik,2,1,4,59
Etnik,2,1,5,74
Etnik,2,2,1,454
Etnik,2,2,2,197
Etnik,2,2,3,421
Etnik,2,2,4,280
Etnik,2,2,5,269
Etnik,2,3,1,266
Etnik,2,3,2,132
Etnik,2,3,3,154
Etnik,2,3,4,46
Etnik,2,3,5,182
Etnik,2,4,1,65
Etnik,2,4,2,56
Etnik,2,4,3,47
Etnik,2,4,4,8
Etnik,2,4,5,78
Etnik,3,0,1,983
Etnik,3,0,2,161
Etnik,3,0,3,494
Etnik,3,0,4,477
Etnik,3,0,5,18
Etnik,3,1,1,11
Etnik,3,1,2,5
Etnik,3,1,3,11
Etnik,3,1,4,6
Etnik,3,1,5,3
Etnik,3,2,1,139
Etnik,3,2,2,30
Etnik,3,2,3,118
Etnik,3,2,4,76
Etnik,3,2,5,4
Etnik,3,3,1,32
Etnik,3,3,2,4
Etnik,3,3,3,19
Etnik,3,3,4,11
Etnik,3,3,5,0
Etnik,3,4,1,3
Etnik,3,4,2,1
Etnik,3,4,3,2
Etnik,3,4,4,1
Etnik,3,4,5,0
Etnik,4,0,1,63
Etnik,4,0,2,61
Etnik,4,0,3,37
Etnik,4,0,4,14
Etnik,4,0,5,3734
Etnik,4,1,1,0
Etnik,4,1,2,1
Etnik,4,1,3,2
Etnik,4,1,4,0
Etnik,4,1,5,21
Etnik,4,2,1,10
Etnik,4,2,2,26
Etnik,4,2,3,11
Etnik,4,2,4,4
Etnik,4,2,5,912
Etnik,4,3,1,26
Etnik,4,3,2,11
Etnik,4,3,3,9
Etnik,4,3,4,2
Etnik,4,3,5,1031
Etnik,4,4,1,1
Etnik,4,4,2,2
Etnik,4,4,3,0
Etnik,4,4,4,0
Etnik,4,4,5,236
