MSIC_5D,DESCRIPTION
F43121,Pembinaan janakuasa
F43122,Pembinaan projek utiliti t.t.t.l.(2)
F43125,Pembinaan loji penapisan
F43126,"Pembinaan laluan air, kerja pelabuhan dan sungai, pleasure ports (marinas), kunci air"
F43129,Pembinaan empangan dan daik
F43211,Penggalian laluan air
F43212,Kemudahan sukan luar dewan
F42109,Pembahagian tanah berserta dengan penambahbaikan tanah(2)
F42201,Pembinaan projek kejuruteraan awam lain t.t.t.l.
F43214,Perobohan atau peranapan bangunan dan struktur lain
F43215,Pembersihan tapak bangunan
F43216,Pengalihan tanah(2)
F43219,"Pengujian tanah, pengerudian dan penggalian tanah untuk tujuan pembinaan, geofizikal, geologikal atau tujuan seumpamanya"
F43222,Penyediaan tapak bagi perlombongan(3)
F43223,Perparitan bagi tanah pertanian atau perhutanan
F43224,Kerja penebusgunaan tanah
F43226,Aktiviti penyediaan tapak lain t.t.t.l.
F43227,Pendawaian dan pemasangan elektrik
F43228,Pendawaian telekomunikasi
F43229,Pendawaian rangkaian komputer dan kabel televisyen(2)
F43292,Piring satelit
F43293,Sistem pencahayaan(3)
F43295,Sistem keselamatan(4)
F43299,Pemasangan elektrik t.t.t.l.
F43303,"Pemasangan sistem pemanasan (elektrik, gas dan minyak)"
F43304,"Pemasangan relau, menara pendinginan"
F43305,Pemasangan pengumpul tenaga solar bukan elektrik
F43306,Pemasangan sistem paip dan peralatan sanitasi
F43309,"Pemasangan peralatan dan saluran pengudaraan, penyejukan atau pendinginan udara"
F43901,Pemasangan kelengkapan gas
F43902,Pemasangan sistem perenjis air untuk kebakaran dan padang
F43903,Pemasangan paip untuk wap
F43904,"Pemasangan sistem paip, pemanasan dan pendinginan udara t.t.t.l."
F43905,"Pemasangan lif, eskalator dalam bangunan atau projek pembinaan lain(2)"
F43906,Pemasangan pintu automatik dan berputar dalam bangunan atau projek pembinaan lain
F43907,Pemasangan konduktor kilat dalam bangunan atau projek pembinaan lain
F43909,Pemasangan sistem pembersihan vakum dalam bangunan atau projek pembinaan lain
F41003,"Pemasangan sistem penebatan haba, bunyi atau gegaran dalam bangunan atau projek pembinaan lain"
F41009,Pemasangan pembinaan lain t.t.t.l.
F42101,"Pemasangan rangka pintu, tingkap, rangka /bingkai pintu dan tingkap daripada kayu atau bahan lain, dapur pasang siap, tangga, kelengkapan kedai dan perabot(2)"
F42102,"Melapis, memasang jubin, menggantung atau memasang kelengkapan bangunan atau projek pembinaan lain daripada pelbagai bahan(3)"
F42103,Mengecat dalam dan luar bangunan
F43123,Mengecat struktur kejuruteraan awam
F43213,"Pemasangan kaca, cermin"
F43221,Penyiapan dalaman bangunan(4)
F43225,Pembersihan bangunan baru selepas kerja pembinaan
F43291,Penyiapan dan kemasan bangunan lain t.t.t.l.
F43294,"Pembinaan tapak, termasuk memantak cerucuk"
F43301,Pembinaan elemen keluli yang bukan dibuat sendiri
F43307,Memasang dan membuka semula perancah dan platform kerja
F41001,Kerja mengikat dan menyusun bata
F41002,Pembinaan kolam renang luar bangunan
F42906,"Pembersihan menggunakan stim, pancutan air deras berpasir dan aktiviti seumpamanya untuk luar bangunan"
F43124,Penyewaan jentera dan peralatan pembinaan dengan operator (cth. kren)
F43302,Aktiviti pembinaan pertukangan khas lain t.t.t.l
G45101,Jualan borong dan runcit kenderaan bermotor baru
G45102,Jualan borong dan runcit kenderaan bermotor terpakai
G45103,"Jualan kenderaan industri, komersial dan pertanian- baru(2)"
G45104,"Jualan kenderaan industri, komersial dan pertanian- terpakai"
G45105,Jualan oleh agen komisen
G45106,Lelongan kereta
G45109,Jualan lain-lain kenderaan bermotor t.t.t.l
G45201,Penyelenggaraan dan pembaikan kenderaan bermotor(2)
G45202,Menyembur dan mengecat
G45203,Mencuci dan menggilap (cuci kereta)
G45205,Pembaikan tempat duduk kenderaan bermotor
G45401,Pemasangan komponen (termasuk alat ganti) dan aksesori bukan sebahagian daripada proses pembuatan
G45402,"Jualan borong dan runcit semua jenis komponen, alat ganti, bekalan, peralatan dan aksesori kenderaan bermotor(2)"
G45403,Jualan borong dan runcit motosikal(2)
G46100,Jualan borong dan runcit komponen (termasuk alat ganti) dan aksesori motosikal(3)
G46201,Pembaikan dan penyelenggaraan motosikal
G46202,Jualan borong berdasarkan kontrak atau yuran
G46203,Jualan borong getah
G46204,Jualan borong minyak kelapa sawit
G46205,Jualan borong kayu balak dan kayu-kayan
G46311,Jualan borong bunga-bungaan dan tumbuh-tumbuhan
G46312,Jualan  borong ternakan
G46313,Jualan borong bahan mentah pertanian dan haiwan hidup t.t.t.l
G46314,"Jualan borong daging, unggas dan telur"
G46321,Jualan borong ikan dan lain-lain makanan laut
G46322,Jualan borong buah-buahan
G46323,Jualan borong sayur-sayuran
G46324,"Jualan borong daging, ikan, buah-buahan dan sayur-sayuran t.t.t.l."
G46326,"Jualan borong beras, bijirin lain, tepung dan gula"
G46327,Jualan borong hasil tenusu
G46329,Jualan borong konfeksi
G46412,"Jualan borong biskut, kek, roti dan produk bakeri lain "
G46413,"Jualan borong kopi, teh dan minuman lain"
G46414,"Jualan borong bir, wain dan spirit(1)"
G46416,"Jualan borong tembakau, cerut, rokok"
G46417,Jualan borong barang makanan lain (2)
G47611,Jualan borong benang dan fabrik
G47612,"Jualan borong linen, tuala dan selimut isi rumah"
G47620,Jualan borong pakaian(2)
G47631,Jualan borong aksesori pakaian (3)
G47632,Jualan borong pakaian daripada bulu binatang
G47633,Jualan borong kasut
G47634,Jualan borong bahan jahitan(4)
G47635,"Jualan borong tekstil, pakaian t.t.t.l.(5)"
G47640,Jualan borong barangan farmaseutikal dan perubatan
G47711,"Jualan borong pewangi, kosmetik, sabun dan kelengkapan dandanan diri"
G47712,Jualan borong basikal dan komponen (termasuk alat ganti) dan aksesori
G47713,Jualan borong barangan fotografi dan optik(1)
G47721,Jualan borong barangan kulit dan aksesori kembara(2) 
G47731,"Jualan borong peralatan muzik, permainan dan barang mainan, barangan sukan(3)"
G47732,Jualan borong kraftangan dan bunga tiruan
G47733,Jualan borong bunga keratan dan tumbuhan
G47734,Jualan borong jam tangan dan jam dinding
G47735,Jualan borong barang kemas
G47737,Jualan borong perabot isi rumah
G47738,Jualan borong perkakas isi rumah 
G47597,Jualan borong peralatan lampu
G47598,"Jualan borong perkakas dapur dan kutleri, pinggan mangkuk, barangan kaca dan barangan tembikar "
G47741,"Jualan borong barangan kayu, anyaman rotan dan barangan gabus"
G47742,Jualan borong barangan elektrik dan elektronik(2)
G47743,"Jualan borong alat tulis, buku, majalah dan surat khabar"
G47744,Jualan borong lain-lain barangan isi rumah t.t.t.l.
G47749,"Jualan borong perkakasan komputer, perisian dan peranti "
G46699,"Jualan borong kelengkapan telefon dan telekomunikasi, telefon selular, alat kelui"
G46901,Jualan borong komponen elektronik dan aksesori pendawaian(3)
G46902,"Jualan borong jentera, kelengkapan dan bekalan pertanian(2)"
G46909,Jualan borong jentera pemotong rumput sebarang cara operasi 
G47111,"Jualan borong mesin pejabat dan kelengkapan perniagaan, kecuali komputer dan kelengkapan peranti komputer (peripheral) "
G47112,Jualan borong perabot pejabat
G47113,Jualan borong peralatan mesin berkawalan komputer(2)
G47114,"Jualan borong jentera, kelengkapan dan bekalan perindustrian"
G47191,Jualan borong jentera dan kelengkapan pembinaan dan kejuruteraan awam
G47192,"Jualan borong lif, eskalator, penghawa dingin, kelengkapan keselamatan dan pemadam api "
G47193,"Jualan borong lain-lain jentera untuk kegunaan industri, perdagangan dan pengemudian dan lain-lain perkhidmatan t.t.t.l.(3)"
G47199,"Jualan borong petrol, diesel, pelincir "
G47211,Jualan borong gas petroleum cecair
G47213,"Jualan borong bahan api pepejal, cecair dan gas  dan produk berkaitan t.t.t.l.(1)"
G47214,Jualan borong bijih besi dan bukan besi dan logam 
G47215,Jualan borong bijih besi dan bukan besi dan logam separuh siap dan produk t.t.t.l.
G47216,"Jualan borong kayu balak, kayu bergergaji, papan lapis, venier dan produk berkaitan"
G47219,Jualan borong cat dan varnis
G47221,Jualan borong bahan pembinaan(1)
G47222,Jualan borong kelengkapan dan lekapan
G47300,Jualan borong pemanas air
G47411,Jualan borong pemasangan dan peralatan kebersihan(2)
G47412,Jualan borong alatan(3)
G47420,"Jualan borong dan bekalan lain-lain bahan binaan, hardwer, peralatan paip dan alat pemanas t.t.t.l."
G47520,Jualan borong bahan kimia industri(2)
G47531,Jualan borong baja dan produk agrokimia
G47532,Jualan borong bahan plastik dalam bentuk asal
G47533,Jualan borong sekerap getah
G47591,Jualan borong gentian tekstil 
G47592,"Jual borong kertas secara pukal, bahan pembungkusan"
G47594,Jual borong batu permata berharga
G47595,Jual borong bahan buangan dan sekerap dan bahan lain sama ada logam dan bukan logam untuk kitar semula(1)
G47596,"Melerai bahagian kenderaan, komputer, televisyen dan peralatan lain untuk mendapatkan bahagian yang boleh digunakan dan jual semula(2)"
G46419,"Jualan borong ikan akuarium, burung dan haiwan peliharaan"
G46421,Jualan borong makanan haiwan/haiwan peliharaan 
G46422,Jualan borong pelbagai jenis barang tanpa pengkhususan tertentu t.t.t.l.
G46431,Kedai runcit
G46432,Pasar raya
G46433,Pasar mini
G46434,Kedai ‘convenience’
G46441,Gedung serbaneka
G46442,Gedung serbaneka dan pasar raya
G46443,Pasar raya besar (Hypermarket)
G46444,Agen surat khabar dan kedai pelbagai barangan
G46491,Jualan runcit lain di kedai tanpa pengkhususan t.t.t.l.
G46492,"Jualan runcit beras, tepung, bijirin lain dan gula"
G46493,Jualan runcit sayur-sayuran dan buah-buahan segar atau diawet(2)
G46494,Jualan runcit produk tenusu dan telur
G46495,Jualan runcit daging dan produk daging (unggas
G46496,Jualan runcit ikan dan makanan laut lain dan lain-lain produk yang berkaitan
G46497,Jualan runcit produk bakeri dan konfeksi
G46499,"Jualan runcit mi, kueh teow, mihun, kulit wantan dan produk makanan lain yang dihasilkan daripada tepung atau soya"
G46521,Jualan runcit produk makanan lain t.t.t.l.
G46522,"Jualan runcit bir, wain dan spirit"
G46531,"Jualan runcit teh, kopi, minuman ringan, air mineral dan minuman lain "
G46532,Jualan runcit produk tembakau di kedai khusus (3)
G46592,Jualan runcit bahan api kenderaan di kedai khusus (2) 
G46593,"Jualan runcit komputer, peralatan dan kelengkapan komputer(2)"
G46594,Jualan runcit konsol permainan video dan sofwer bukan ditempah khas(3)
G46595,Jualan runcit peralatan telekomunikasi
G46599,Jualan runcit peralatan audio dan video di kedai pengkhususan (4)
G46611,Jualan runcit di kedai khusus yang menjual tekstil (2)
G46612,"Jualan runcit bahan binaan , hardwer, cat dan kaca (3)"
G46621,Jualan runcit karpet dan hamparan(5)
G46622,Jualan runcit langsir dan net 
G46631,Jualan runcit kertas dinding dan alas lantai
G46632,Jualan runcit perabot isi rumah 
G46634,Jualan runcit peralatan lampu 
G46635,"Jualan runcit perkakas isi rumah, perkakas dapur dan kutleri, pinggan mangkuk, barangan kaca dan barangan tembikar "
G46636,"Jualan runcit kayu, barangan gabus dan barangan anyaman rotan"
G46637,Jualan runcit perkakas isi rumah
G46691,Jualan runcit peralatan muzik dan skor
G46692,Jualan runcit sistem keselamatan (2)
G46693,Jualan runcit barangan dan peralatan isi rumah t.t.t.l
G46694,Jualan runcit bekalan dan peralatan pejabat
G46695,"Jualan runcit buku, surat khabar dan alat tulis"
G46696,"Jualan runcit rekod muzik, pita audio, cakera padat, kaset, pita video, VCD dan DVD, pita dan cakera kosong"
G46697,Jualan runcit barangan dan peralatan sukan
G46698,Jualan runcit peralatan memancing
G47820,Jualan runcit barangan perkhemahan
G47891,Jualan runcit bot dan peralatannya
G47892,Jualan runcit basikal dan komponen (termasuk alat ganti) dan aksesori yang berkaitan 
G47893,"Jualan runcit permainan dan barang mainan, diperbuat dari pelbagai bahan"
G47895,"Jualan runcit pakaian, artikel bagi bulu binatang dan aksesori pakaian(2)"
G47911,Jualan runcit kasut
G47912,"Jualan runcit barangan kulit, aksesori kulit serta gantian kulit"
G47914,"Jualan runcit di kedai khusus yang menjual barang farmaseutikal, perubatan dan ortopedik"
G47991,"Jualan runcit di kedai khusus yang menjual pewangi, kosmetik dan kelengkapan dandanan diri"
G47999,Jualan runcit peralatan fotografi dan kepersisan
G45300,Jualan runcit jam tangan dan jam dinding
G46209,Jualan runcit barang kemas
G46319,"Jualan runcit bunga, tumbuhan, biji benih dan baja"
G46325,"Jualan runcit cenderahati, kraftangan dan barang keagamaan"
G46411,"Jualan runcit minyak tanah, gas memasak, batu arang dan kayu api"
G46415,Jualan runcit cermin mata dan barang optik lain(1)
G46510,"Jualan runcit ikan akuarium, haiwan peliharaan dan makanannya"
G46591,Jualan runcit di kedai khusus yang menjual barang baru lain t.t.t.l.(2)
G46633,Jualan runcit buku terpakai
G46639,Jualan runcit barang elektrik dan elektronik terpakai
G47194,Jualan runcit barang antik(4)
G47212,Aktiviti pusat lelongan (runcit)
G47217,Jualan runcit barangan terpakai t.t.t.l.
G47230,"Jualan runcit makanan, minuman dan produk tembakau di gerai atau pasar"
G47413,"Jualan runcit tekstil, baju dan kasut di gerai atau pasar"
G47510,Jualan runcit permaidani dan di gerai dan pasar
G47593,Jualan runcit buku di gerai atau pasar
G47722,Jualan runcit alat permainan dan barang mainan di gerai atau pasar
G47736,Jualan runcit peralatan isi rumah dan barang elektronik di gerai atau pasar
G47739,Jualan runcit rekod muzik dan video di gerai atau pasar
G47810,Jualan runcit sebarang jenis produk melalui pesanan mel
G47894,Jualan runcit sebarang jenis produk melalui internet
G47913,"Jualan langsung melalui televisyen, radio dan telefon"
G47992,Jualan runcit lelongan melalui internet 
G46596,Jualan runcit sebarang jenis produk melalui jualan langsung atau penjualan dari pintu ke pintu(2)
G46619,Jualan runcit sebarang jenis produk melalui mesin layan diri (vending machine) 
G45204,"Jualan runcit lain bukan di kedai, gerai atau pasar t.t.t.l.(3)"
H49212,Pengangkutan penumpang antara bandar melalui laluan rel
H49221,"Pengangkutan muatan antara bandar, pinggir bandar dan bandar melalui laluan rel"
H49222,Perkhidmatan bas bandaraya
H49223,Perkhidmatan pengangkutan rel penumpang bandar dan pinggir bandar(2)
H49224,Perkhidmatan bas ekspres(4)
H49225,Perkhidmatan bas pekerja
H49229,Perkhidmatan bas sekolah
H49230,Perkhidmatan operasi teksi dan limosin
H49300,Sewa kereta dengan pemandu
H50111,Pengangkutan darat penumpang lain t.t.t.l.(5)
H50112,Pengangkutan muatan melalui jalan raya
H50113,Pengangkutan melalui saluran paip
H50121,"Operasi rombongan, cruise atau bot persiaran"
H50122,"Operasi feri, teksi air"
H50211,Sewaan bot santai dengan krew bagi pengangkutan laut dan pesisir pantai(2)
H50212,"Pengangkutan muatan laut dan pesisir pantai, berjadual atau tidak berjadual"
H50220,"Pengangkutan tunda atau tolak tongkang, pelantar minyak"
H51101,"Pengangkutan penumpang melalui sungai, terusan, tasik dan laluan air pedalaman lain(1)"
H51103,Sewaan bot santai dengan krew bagi pengangkutan air pedalaman
H51201,"Pengangkutan muatan melalui sungai, terusan, tasik dan laluan air pedalaman lain(2)"
H51203,Pengangkutan penumpang melalui udara mengikut laluan dan jadual biasa
H52100,Pengangkutan penumpang tidak berjadual(1)
H52211,Penyewaan peralatan pengangkutan dengan operator untuk tujuan pengangkutan penumpang
H52213,Pengangkutan muatan udara mengikut laluan dan berjadual biasa
H52214,Pengangkutan muatan udara tidak berjadual(1)
H52219,Penyewaan peralatan pengangkutan  udara dengan operator untuk tujuan pengangkutan muatan
H52222,Perkhidmatan penggudangan dan penyimpanan
H52229,Operasi kemudahan terminal(2)
H52231,Perkhidmatan tunda dan bantuan tepi jalan(3)
H49211,Operasi kemudahan meletak kenderaan bermotor (medan letak kenderaan)(4)
H52233,"Perkhidmatan operasi lebuh raya, jambatan dan terowong"
H52234,Aktiviiti perkhidmatan lain berkaitan pengangkutan darat t.t.t.l.(5)
H52241,Operasi perkhidmatan pelabuhan dan limbungan(2)
H52249,Perkhidmatan penyelamat dan pengapungan semula kapal
H52291,Aktiviti perkhidmatan lain berkaitan pengangkutan air t.t.t.l.(3)
H49110,Operasi kemudahan terminal(2)
H53100,Lapangan terbang dan aktiviti kawalan trafik udara
H53200,Aktiviti perkhidmatan asas di padang terbang
H52292,Aktiviti melawan dan pencegahan api di lapangan terbang
H52299,Aktiviti perkhidmatan lain berkaitan pengangkutan udara t.t.t.l.
H49120,Perkhidmatan pemunggahan
H51102,Aktiviti pengendalian kargo lain t.t.t.l.
H51202,Penghantaran muatan(3)
H52212,Pembrokeran ruang kapal dan kapal terbang
H52221,Aktiviti sokongan pengangkutan lain t.t.t.l(4)
H52232,Perkhidmatan pos nasional(2)
H52239,Aktiviti kurier selain daripada aktiviti pos nasional(2)
I55101,Hotel dan hotel resort(2)
I55102,Motel
I55103,Hotel Apartmen(3)
I55104,Chalet 
I55105,Rumah rehat/rumah tetamu
I55106,Bed and breakfast unit
I55107,Asrama
I55108,Homestay
I55109,Aktiviti penginapan jangka masa pendek yang lain t.t.t.l.
I55200,"Tapak perkhemahan, taman kenderaan rekreasi dan taman treler(1)"
I55900,Penginapan lain(1)
I56101,Restoran dan restoran yang juga kelab malam
I56102,Kafeteria/kantin
I56103,Restoran makanan segera
I56104,Trak ais krim dengan tempat duduk
I56105,Kenderaan sorong makanan yang bergerak
I56106,Gerai/penjaja makanan
I56107,"Makanan dan minuman, penyediaan makanan dan minuman di dalam gerai/penjaja(2)"
I56210,Katering makanan
I56290,Aktiviti perkhidmatan makanan lain(2)
I56301,"Pub, bar, disko, coffee house, ruang koktel dan karaoke"
I56302,Kedai kopi
I56303,Gerai/penjaja minuman
I56304,Perkhidmatan minuman bergerak
I56309,Tempat minuman lain t.t.t.l.
J60200,"Penerbitan buku, brosur dan penerbitan lain(2)"
J61101,"Penerbitan senarai mel, buku telefon dan direktori lain(3)"
J61102,"Penerbitan surat khabar, jurnal, majalah dan penerbitan berkala dalam bentuk cetakan atau elektronik(4)"
J61201,"Penerbitan katalog, gambar, turisan dan poskad, kad ucapan, borang, poster, penerbitan semula kerja-kerja seni, bahan pengiklanan dan bahan bercetak lain t.t.t.l."
J61202,Aplikasi perniagaan dan aplikasi lain 
J61300,Permainan komputer untuk semua platform(2)
J61901,Sistem operasi
J61902,"Aktiviti pengeluaran wayang gambar, video dan program televisyen(2)"
J61903,"Aktiviti pasca produksi wayang gambar, video dan program televisyen(2)"
J61905,"Aktiviti pengedaran wayang gambar, video dan program televisyen(2)"
J61909,Aktiviti penayangan wayang gambar(3)
J62010,Aktiviti rakaman bunyi dan penerbitan muzik 
J62021,Penyiaran radio
J62022,Aktiviti pemprograman dan penyiaran televisyen 
J58110,Perkhidmatan aktiviti telekomunikasi berwayar
J58120,Pembekal akses internet oleh operator infrastruktur berwayar
J58130,Perkhidmatan telekomunikasi tanpa wayar  
J58190,Pembekal akses Internet oleh operator infrastruktur tanpa wayar
J58201,Perkhidmatan telekomunikasi satelit
J58202,Penyediaan akses internet melalui rangkaian di antara pelanggan dan ISP yang bukan dimiliki atau dikawal oleh ISP
J58203,Penyediaan perkhidmatan telekomunikasi melalui sambungan telekom sedia ada 
J59110,Penjualan semula telekomunikasi 
J59120,Penyediaan perkhidmatan telekomunikasi melalui sambungan telekom VOIP (Voice Over Internet Protocol) sedia ada 
J59130,Penyediaan aplikasi telekomunikasi yang khusus(2
J59140,Aktiviti telekomunikasi lain t.t.t.l. 
J59200,Aktiviti pengaturcaraan komputer(2)
J60100,Perundingan komputer(4
J61904,Aktiviti pengurusan kemudahan komputer(1)
J62091,Sistem keselamatan Teknologi Maklumat dan Komunikasi (ICT)
J62099,Aktiviti perkhidmatan teknologi maklumat lain t.t.t.l.(3)
J63111,"Aktiviti penyediaan infrastruktur untuk hosting, perkhidmatan prosesan data dan aktiviti yang berkaitan(1)"
J63112,Aktiviti prosesan data(2)
J63120,Web portal
J63910,Aktiviti agensi dan sindiket berita
J63990,Aktiviti perkhidmatan maklumat lain t.t.t.l.
K64110,Perbankan pusat
K64191,Bank Perdagangan
K64192,Bank Islam
K64193,Bank Luar Pesisir Pantai(2)
K64194,Bank Pelaburan
K64195,Institusi Pembangunan Kewangan (dengan fungsi pengambilan deposit)(3)
K64199,Perantaraan kewangan lain (dengan fungsi pengambilan deposit) t.t.t.l.
K64200,Aktiviti syarikat pemegang
K64923,Syarikat modal usahasama(2)
K64991,Unit tabung amanah tidak termasuk REITs 
K64999,Harta unit amanah (REITs)
K66302,Pengurusan akaun amanah lain
K64301,"Entiti amanah, tabung dan kewangan seumpamanya t.t.t.l."
K64302,Aktiviti pajakan kewangan(2)
K64303,Institusi pembangunan kewangan (tanpa fungsi pengambilan deposit)(4)
K64304,Perkhidmatan kad kredit 
K64309,Aktiviti peminjaman wang berlesen
K64910,"Kedai pajak gadai dan tukang pajak termasuk Ar-Rahnu"
K64921,Koperasi dengan fungsi kredit 
K64922,Pemberian kredit lain t.t.t.l.
K64924,Syarikat pemfaktoran 
K64925,Wakil pejabat bank asing 
K64929,Syarikat nomini 
K64992,"Aktiviti perkhidmatan kewangan lain, kecuali insurans/takaful dan tabungan pencen, t.t.t.l."
K64993,Insurans Hayat 
K65111,Takaful keluarga
K65112,Insurans am 
K65121,Takaful am 
K65122,Insurans komposit 
K65123,Insurans luar pesisir pantai 
K65124,Takaful luar pesisir pantai(1)
K65125,Insurans semula hayat
K65201,Takaful semula keluarga
K65202,Insurans semula am
K65203,Takaful semula am
K65204,Takaful semula komposit
K65205,Insurans semula luar pesisir pantai
K65206,Takaful semula luar pesisir pantai
K65207,Tabungan pencen(2)
K65301,Tabungan hemat 
K65302,Bursa saham 
K66111,Bursa untuk kontrak komoditi 
K66112,Bursa sekuriti 
K66113,Bursa kontrak komoditi masa hadapan 
K66114,Pentadbiran pasaran kewangan t.t.t.l.
K66119,"Broker stok, saham dan bon "
K66121,Broker dan peniaga komoditi 
K66122,Peniaga jongkong emas 
K66123,Broker dan peniaga tukaran wang asing (Bureaux de change)
K66124,Perkhidmatan pengurup wang 
K66125,Broker dan peniaga kewangan dan komoditi masa hadapan lain
K66129,Perkhidmatan penasihat pelaburan 
K66191,Perkhidmatan perundingan kewangan 
K66192,Aktiviti sokongan kepada kewangan t.t.t.l.
K66199,Perkhidmatan penyesuaian insurans 
K66211,Perkhidmatan penyesuaian takaful 
K66212,Ejen insurans 
K66221,Ejen takaful 
K66222,Broker insurans 
K66223,Broker takaful 
K66224,"Aktiviti sokongan kepada insurans, takaful dan tabungan pencen lain(3) "
K66290,Pengurusan tabung pencen 
K66301,Pengurusan aset/portfolio 
K66303,Syarikat pengurusan unit amanah 
L68101,"Pembelian, penjualan, penyewaan dan pengendalian bagi hartanah milikan sendiri atau pajakan – bangunan kediaman"
L68104,"Pembelian, penjualan, penyewaan dan pengendalian bagi hartanah milikan sendiri atau pajakan - bangunan bukan kediaman(2)"
L68102,"Pembelian, penjualan, penyewaan dan pengendalian bagi hartanah milikan sendiri atau pajakan - tanah"
L68103,Pembangunan bagi projek yang dibina untuk operasi sendiri spt. untuk sewaan ruang di dalam bangunan(3)
L68109,Aktiviti hartanah bagi harta milikan sendiri atau pajakan t.t.t.l.(4)
L68201,"Aktiviti agen dan broker hartanah untuk pembelian, penjualan dan penyewaan hartanah"
L68202,Pengurusan hartanah atas dasar bayaran atau kontrak
L68203,Perkhidmatan penilaian hartanah(2)
L68209,Aktiviti hartanah atas dasar bayaran atau kontrak t.t.t.l.(3)
M69100,Aktiviti guaman
M69200,"Aktiviti perakaunan, simpan kira dan audit; perundingan percukaian"
M70100,Aktiviti ibu pejabat
M70201,Perkhidmatan perundingan pengurusan perniagaan
M70202,Perkhidmatan perundingan sumber manusia(2)
M70203,Perkhidmatan perundingan perhubungan awam dan komunikasi
M70209,Aktiviti perundingan pengurusan lain t.t.t.l.(3)
M71101,Perkhidmatan arkitek(2)
M71102,Perkhidmatan kejuruteraan(3)
M71103,Perkhidmatan juru ukur tanah(1
M71109,Aktiviti arkitek dan kejuruteraan lain dan perundingan teknikal berkaitan t.t.t.l.
M71200,Ujian teknikal dan analisis(1)
M72101,Penyelidikan dan pembangunan sains semula jadi(1)
M72102,Penyelidikan dan pembangunan kejuruteraan dan teknologi(2)
M72103,Penyelidikan dan pembangunan sains perubatan(3)
M72104,Penyelidikan dan pembangunan bioteknologi
M72105,Penyelidikan dan pembangunan sains pertanian
M72106,Penyelidikan dan pembangunan teknologi maklumat dan komunikasi
M72109,Penyelidikan dan pembangunan sains semula jadi dan kejuruteran lain t.t.t.l.(4)
M72201,Penyelidikan dan pembangunan sains sosial
M72202,Penyelidikan dan pembangunan kemanusian
M72209,"Penyelidikan dan pembangunan sosial sains dan kemanusian lain, t.t.t.l."
M73100,Pengiklanan(1)
M73200,Penyelidikan pasaran dan tinjauan pendapat umum(1)
M74101,Aktiviti hiasan dalaman
M74102,Perkhidmatan pereka grafik
M74103,Perkhidmatan rekaan fesyen(2)
M74109,Aktiviti reka bentuk khusus t.t.t.l.(3)
M74200,Aktiviti fotografi(2)
M74901,Aktiviti penterjemahan dan pentafsiran
M74902,Aktiviti broker perniagaan(2)
M74903,Perunding keselamatan
M74904,Aktiviti juru ukur bahan
M74905,"Aktiviti perunding selain daripada perunding arkitek, kejuruteraan dan pengurusan(1)"
M74909,"Aktiviti professional, saintifik dan teknikal lain t.t.t.l.(2)"
M75000,Aktiviti veterinar
N82110,Penyewaan dan pemajakan operasi kereta penumpang (tanpa pemandu)
N82191,"Penyewaan dan pemajakan operasi trak, treler pelbagai guna dan kenderaan rekreasi "
N82192,"Penyewaan dan pemajakan bot peranginan, kenu, perahu layar"
N82193,Penyewaan dan pemajakan basikal
N82194,Penyewaan dan pemajakan kerusi pantai dan payung
N82195,Penyewaan dan pemajakan kelengkapan sukan lain t.t.t.l.
N81300,"Penyewaan pita video, piring hitam, CD, DVD"
N82196,"Penyewaan dan pemajakan barang tekstil, pakaian dan kasut"
N82199,"Penyewaan dan pemajakan barang perabot, tembikar dan kaca, perkakas dapur, barang elektrik dan peralatan rumah(2)"
N82200,"Penyewaan dan pemajakan barang kemas, peralatan muzik, hiasan latar dan kostum"
N82301,"Penyewaan dan pemajakan buku, jurnal dan majalah"
N82302,Penyewaan dan pemajakan mesin dan kelengkapan yang digunakan oleh amatur atau sebagai hobi(3)
N82910,Penyewaan pokok dan bunga
N82920,Penyewaan dan pemajakan kelengkapan elektronik untuk kegunaan isi rumah
N82990,Penyewaan dan pemajakan barangan persendirian dan isi rumah lain t.t.t.l.
N77293,"Penyewaan dan pemajakan operasi, tanpa operator, untuk mesin dan kelengkapan lain yang biasanya digunakan sebagai barang modal oleh industri(2)"
N77297,"Penyewaan dan pemajakan operasi, tanpa pemandu, kelengkapan pengangkutan darat (selain daripada kenderaan bermotor)(3)"
N77301,Penyewaan dan pemajakan operasi kelengkapan pengangkutan air tanpa pengendali(1)
N78200,Penyewaan dan pemajakan operasi kelengkapan pengangkutan udara tanpa pengendali(2)
N78300,Penyewaan dan pemajakan operasi jentera dan kelengkapan pertanian dan perhutanan tanpa pengendali(3)
N79110,Penyewaan dan pajakan operasi jentera dan kelengkapan pembinaan dan kejuruteraan awam tanpa pengendali(4)
N79120,Sewaan dan pajakan operasi jentera dan kelengkapan pejabat tanpa pengendali (5)
N79900,"Penyewaan dan pajakan mesin bagi jentera, kelengkapan dan barang ketara t.t.t.l.(6)"
N80100,"Pemajakan harta intelektual dan produk seumpamanya, kecuali kerja berhakcipta(2)"
N80200,Aktiviti agensi penempatan pekerjaan (2)
N80300,Aktiviti agensi pekerjaan sementara(1)
N81100,Penyediaan sumber manusia kepada perniagaan pelanggan 
N81210,Aktiviti agensi pengembaraan(1)
N81291,Aktiviti operator pelancongan(2)
N81292,Khidmat penempahan dan aktiviti berkaitan(2)
N81293,Aktiviti keselamatan persendirian(2)
