MSIC_5D,DESCRIPTION
A02202,Perikanan ikan air tawar t.t.t.l.
A02203,Ternakan ikan di laut
A02204,"Pengeluaran dwi-cangkerang spat (tiram, kupang), anak udang kara, anak udang dan benih ikan"
A03129,Penanaman rumpair merah dan rumpai laut lain yang boleh dimakan
A03211,"Pengkulturan krustasia, dwi-cangkerang, moluska dan haiwan akuatik lain di laut"
A03213,Aktiviti akuakultur air payau
A03214,Aktiviti akuakultur di dalam tangki air atau takungan masin
A03215,Operasi penetasan anak benih (laut)
A03217,Operasi ladang ternakan cacing laut untuk makanan ikan
A03218,Akuakultur laut t.t.t.l.
A03219,Ternakan ikan air tawar
A03221,Ternakan udang air tawar
A03222,"Pengkulturan krustasia, dwi-cangkerang, moluska dan haiwan akuatik lain di air tawar"
A03224,Operasi penetasan anak benih (air tawar)
A03225,Penternakan katak
A03229,Akuakultur air tawar t.t.t.l.
B06102,Perlombongan batu arang pepejal
B06201,Perlombongan lignit (batu arang perang)
B06205,Pengekstrakan minyak petroleum mentah 
B08915,Pengekstrakan bitumen atau minyak batu syal dan pasir tar
B08917,Pengeluaran petroleum mentah daripada batu syal dan pasir berbitumen
B08933,Proses mendapatkan minyak mentah(2)  
B08993,Pengeluaran hidrokarbon mentah bergas (gas asli)
B08999,Pengekstrakan kondensat
B05100,Penyaliran dan pemisahan komponen hidrokarbon cecair
B05200,Penyahsulfuran gas
B06101,"Perlombongan cecair hidrokarbon, diperoleh melalui pencairan atau penguraian kimia (pyrolisis)"
B06103,Perlombongan bijih yang tinggi kandungan besi
B06104,Pengekstrakan dan penggumpulan bijih besi
B06202,Perlombongan bijih uranium dan torium
B06203,Perlombongan bijih timah 
B06204,Perlombongan tembaga
B07101,Perlombongan bauksit (aluminium)
B07299,Perlombongan ilmenit
B08101,Perlombongan emas
B08102,Perlombongan perak
B08103,Perlombongan platinum
B08104,Pembilasan amang
B08105,Perlombongan bijih logam bukan besi lain t.t.t.l.(3) 
B08106,"Pengkuarian, pemotongan kasar bongkah batu dan batu bangunan seperti marmar, granit (dimension stone), batu pasir"
B08107,"Pengkuarian, penghancuran dan pemecahan batu kapur"
B08108,Perlombongan gipsum dan anhidrit
B08109,Perlombongan kapur dan dolomite yang tidak dirawat
B08911,"Pengekstrakan dan penggorekan bagi industri pasir, pasir untuk sektor pembinaan dan kerikil"
B08912,Pemecahan dan penghancuran batu dan kerikil
B08913,Pengkuarian pasir(2)
B08914,"Perlombongan tanah liat, refraktori tanah liat dan kaolin"
B07102,"Pengkuarian, penghancuran dan pemecahan granit"
B07210,Perlombongan fosfat semulajadi
B07291,Perlombongan garam kalium (potassium) semulajadi
B07292,Perlombongan sulfur semulajadi
B07293,"Pengekstrakan dan penyediaan pirit dan pirotit, kecuali penyalaian"
B07294,Perlombongan barium sulfat semulajadi dan karbonat (baryte and witerit)
B07295,"Perlombongan borat semula jadi, magnesium sulfat semulajadi (kieserit)"
B07296,"Perlombongan earth colours, fluorspar dan mineral lain yang tinggi kandungan mineral sebagai sumber kimia"
B07297,Perlombongan guano
B07298,Penggalian tanah gambut
B08916,Penggumpulan tanah gambut
B08918,Penyediaan tanah gambut untuk pembaikan kualiti atau kemudahan pengangkutan atau penstoran
B08921,Pengekstrakan garam dari bawah tanah
B08922,Pengeluaran garam melalui penyejatan air laut atau air masin lain
B08923,"Penghancuran, penulenan dan penapisan garam oleh pengeluar"
B08931,Perlombongan dan pengkuarian bahan pelelas (bahan kesat)
B08932,Perlombongan dan pengkuarian asbestos
B08991,Perlombongan dan pengkuarian fosil bersilika
B08992,Perlombongan dan pengkuarian grafit  semulajadi
B08994,Perlombongan dan pengkuarian steatite (talkum)
B08995,Perlombongan dan pengkuarian batu permata
B08996,Perlombongan dan pengkuarian lain t.t.t.l
B09101,Aktiviti pengekstrakan petroleum dan gas yang dibekalkan atas dasar kontrak atau yuran
B09102,Perkhidmatan memadam kebakaran di lapangan minyak dan gas
B09900,Aktiviti sokongan perlombongan dan pengkuarian lain 
C27900,Pemprosesan dan pengawetan daging dan pengeluaran produk daging
C28110,Pemprosesan dan pengawetan ayam itik dan produk ayam itik
C28120,Pengeluaran belulang dan kulit daripada rumah penyembelihan
C28130,"Operasi rumah penyembelihan yang terlibat dalam pembunuhan, pembersihan atau pembungkusan daging"
C28140,Pemprosesan dan pengawetan daging t.t.t.l
C28150,"Pengetinan ikan, krustasea dan moluska"
C28160,"Pemprosesan dan pengawetan ikan, krustasea dan moluska"
C28170,Pengeluaran makanan berasaskan ikan untuk manusia atau haiwan
C28180,Pengeluaran keropok termasuk keropok lekor
C28191,Pemprosesan rumpai laut
C28192,Pembuatan produk makanan buah-buahan dan sayur-sayuran
C28199,Pembuatan jus buah-buahan dan sayur-sayuran
C28210,Pengetinan nanas
C28220,"Pembuatan jem, marmalad dan sajian jeli"
C28230,Pembuatan kacang dan produk kekacang
C28240,Pembuatan produk tauhu
C28250,Pembuatan minyak sawit mentah
C28260,Pembuatan minyak sawit bertapis
C28290,Pembuatan minyak isirong
C29101,Pembuatan minyak sayuran mentah dan bertapis
C29102,Pembuatan minyak kelapa
C29200,Pembuatan sebatian lemak masakan
C29300,Pembuatan minyak dan lemak haiwan
C30110,Pembuatan aiskrim dan ais lain yang boleh dimakan seperti sorbet
C30120,"Pembuatan susu pekat, tepung dan sejat"
C30200,Pembuatan produk tenusu lain t.t.t.l
C30300,Pengilangan beras
C30400,Perkhidmatan persediaan pengilangan
C30910,Pengilangan tepung
C30920,Pembuatan produk bijian t.t.t.l
C30990,Pembuatan kanji dan produk berkanji
C31001,"Pembuatan glukosa, sirap glukosa, maltosa, inulin"
C31002,Pembuatan tepung/produk sagu dan ubi kayu
C31003,Pembuatan biskut dan cookies
C31009,"Pembuatan roti, kek dan produk bakeri lain"
C32110,Pembuatan produk snek
C32120,Pembuatan produk bakeri yang dibeku
C32200,Pembuatan gula
C32300,Pembuatan produk daripada gula
C10742,Pembuatan produk koko
C10750,Pembuatan coklat dan produk coklat
C10791,Pembuatan konfeksi gula
