name,shop,lon,lat,state,district,parlimen,dun
Kedai Motor Keak Li,motorcycle,100.4903528,5.4834919,Pulau Pinang,Seberang Perai Utara,P.042 Tasek Gelugor,N.04 Permatang Berangan
Khing Motors,motorcycle,100.4296973,5.4455369,Pulau Pinang,Seberang Perai Utara,P.042 Tasek Gelugor,N.05 Sungai Dua
PS One Motor,motorcycle,100.4067431,5.4050464,Pulau Pinang,Seberang Perai Tengah,P.044 Permatang Pauh,N.10 Seberang Jaya
Kedai Motosikal Lean Huat,motorcycle,100.4297087,5.5127379,Pulau Pinang,Seberang Perai Utara,P.041 Kepala Batas,N.02 Bertam
,motorcycle,100.4298173,5.5137013,Pulau Pinang,Seberang Perai Utara,P.041 Kepala Batas,N.02 Bertam
Yew Ngee Motor Parts & Accessories Sdn Bhd,motorcycle,100.429929,5.5177864,Pulau Pinang,Seberang Perai Utara,P.041 Kepala Batas,N.02 Bertam
Zi Yang Auto Sdn Bhd,motorcycle,100.4299347,5.5178843,Pulau Pinang,Seberang Perai Utara,P.041 Kepala Batas,N.02 Bertam
KB Soon Huat Motor Sdn Bhd,motorcycle,100.4299531,5.518126,Pulau Pinang,Seberang Perai Utara,P.041 Kepala Batas,N.02 Bertam
Huang Motor,motorcycle,100.4297243,5.5112368,Pulau Pinang,Seberang Perai Utara,P.041 Kepala Batas,N.02 Bertam
SYN Motor Enterprise,motorcycle,100.4643878,5.40335,Pulau Pinang,Seberang Perai Tengah,P.044 Permatang Pauh,N.12 Penanti
Fung Motor Enterprise,motorcycle,100.4644798,5.403519,Pulau Pinang,Seberang Perai Tengah,P.044 Permatang Pauh,N.12 Penanti
Sin Hin Motors (M) Sdn Bhd,motorcycle,100.4647174,5.4035399,Pulau Pinang,Seberang Perai Tengah,P.044 Permatang Pauh,N.12 Penanti
Sooi Hin Motor,motorcycle,100.4298535,5.516511,Pulau Pinang,Seberang Perai Utara,P.041 Kepala Batas,N.02 Bertam
,motorcycle,100.4303519,5.5108305,Pulau Pinang,Seberang Perai Utara,P.041 Kepala Batas,N.02 Bertam
,motorcycle,100.4303284,5.5103556,Pulau Pinang,Seberang Perai Utara,P.041 Kepala Batas,N.02 Bertam
Kedai Motor Hai Seng,motorcycle,100.4301101,5.5090468,Pulau Pinang,Seberang Perai Utara,P.041 Kepala Batas,N.02 Bertam
Chun Kooi Motor,motorcycle,100.4304873,5.5191066,Pulau Pinang,Seberang Perai Utara,P.041 Kepala Batas,N.02 Bertam
Faisol Motor,motorcycle,100.4197832,5.3803716,Pulau Pinang,Seberang Perai Tengah,P.044 Permatang Pauh,N.10 Seberang Jaya
Hin Motor,motorcycle,100.4194184,5.4109588,Pulau Pinang,Seberang Perai Tengah,P.044 Permatang Pauh,N.11 Permatang Pasir
GNP Motor,motorcycle,100.4297407,5.5105246,Pulau Pinang,Seberang Perai Utara,P.041 Kepala Batas,N.02 Bertam
Brightwill Trading Sdn Bhd,motorcycle,100.3708196,5.41056,Pulau Pinang,Seberang Perai Utara,P.043 Bagan,N.09 Bagan Dalam
SOLIDBIKE,motorcycle,100.3902672,5.3862462,Pulau Pinang,Seberang Perai Tengah,P.046 Batu Kawan,N.16 Perai
Eng Lum Motor,motorcycle,100.3388046,5.4160507,Pulau Pinang,Timur Laut,P.049 Tanjong,N.26 Padang Kota
EL Chong Motor Trading,motorcycle,100.4962257,5.2019918,Pulau Pinang,Seberang Perai Selatan,P.047 Nibong Tebal,N.19 Jawi
Ducati,motorcycle,100.3276626,5.4138763,Pulau Pinang,Timur Laut,P.049 Tanjong,N.28 Komtar
Motorbike Rental,motorcycle,100.3367155,5.4181174,Pulau Pinang,Timur Laut,P.049 Tanjong,N.26 Padang Kota
,motorcycle,100.4953634,5.3438839,Pulau Pinang,Seberang Perai Tengah,P.045 Bukit Mertajam,N.14 Machang Bubuk
Castrol,motorcycle,100.278293,5.4019706,Pulau Pinang,Timur Laut,P.051 Bukit Gelugor,N.33 Air Itam
,motorcycle,100.3103356,5.4133824,Pulau Pinang,Timur Laut,P.050 Jelutong,N.29 Datok Keramat
,motorcycle,100.3013196,5.4077527,Pulau Pinang,Timur Laut,P.048 Bukit Bendera,OUT_OF_BOUNDS
,motorcycle,100.310434,5.4134632,Pulau Pinang,Timur Laut,P.050 Jelutong,N.29 Datok Keramat
,motorcycle,100.2861425,5.4044782,Pulau Pinang,Timur Laut,P.048 Bukit Bendera,N.33 Air Itam
,motorcycle,100.3236142,5.4013994,Pulau Pinang,Timur Laut,P.050 Jelutong,N.30 Sungai Pinang
Chuan Motor,motorcycle,100.321592,5.4000076,Pulau Pinang,Timur Laut,P.050 Jelutong,N.30 Sungai Pinang
SYM,motorcycle,100.2317668,5.3512267,Pulau Pinang,Barat Daya,P.053 Balik Pulau,N.39 Pulau Betong
,motorcycle,100.2171963,5.3680635,Pulau Pinang,Barat Daya,P.053 Balik Pulau,N.40 Telok Bahang
,motorcycle,100.2295956,5.3527312,Pulau Pinang,Barat Daya,P.053 Balik Pulau,N.39 Pulau Betong
,motorcycle,100.2848783,5.4652642,Pulau Pinang,Timur Laut,P.048 Bukit Bendera,N.22 Tanjong Bunga
,motorcycle,100.2885049,5.4657993,Pulau Pinang,Timur Laut,P.048 Bukit Bendera,N.22 Tanjong Bunga
,motorcycle,100.3072128,5.455414,Pulau Pinang,Timur Laut,P.048 Bukit Bendera,N.22 Tanjong Bunga
Soon Lee Huat Brothers Motor Sdn Bhd,motorcycle,100.4764886,5.2778783,Pulau Pinang,Seberang Perai Selatan,P.046 Batu Kawan,N.18 Bukit Tambun
Pauh Motor,motorcycle,100.4131668,5.4105439,Pulau Pinang,Seberang Perai Tengah,P.044 Permatang Pauh,N.11 Permatang Pasir
Hock Lee Motor,motorcycle,100.4409495,5.4550618,Pulau Pinang,Seberang Perai Utara,P.042 Tasek Gelugor,N.05 Sungai Dua
Honda Big Wing,motorcycle,100.3185907,5.4070307,Pulau Pinang,Timur Laut,P.050 Jelutong,N.29 Datok Keramat
KAHR Motorbike Sdn Bhd,motorcycle,100.4836198,5.3366998,Pulau Pinang,Seberang Perai Tengah,P.045 Bukit Mertajam,N.14 Machang Bubuk
